_________________________________________________________
    n    |         u(n)          |          sum
      449|          -1.61337e+116|           -6.6007e+115
      450|           1.11544e+116|           4.55366e+115
      451|          -7.69477e+115|          -3.14111e+115
      452|            5.2965e+115|           2.15539e+115
      453|           -3.6377e+115|           -1.4823e+115
      454|           2.49293e+115|           1.01063e+115
      455|          -1.70468e+115|          -6.94053e+114
      456|           1.16313e+115|           4.69073e+114
      457|          -7.91887e+114|          -3.22814e+114
      458|           5.37965e+114|           2.15151e+114
      459|          -3.64672e+114|          -1.49521e+114
      460|           2.46666e+114|           9.71453e+113
      461|          -1.66486e+114|          -6.93405e+113
      462|           1.12127e+114|            4.2786e+113
      463|          -7.53537e+113|          -3.25677e+113
      464|           5.05321e+113|           1.79644e+113
      465|          -3.38142e+113|          -1.58498e+113
      466|           2.25789e+113|            6.7291e+112
      467|          -1.50445e+113|          -8.31545e+112
      468|            1.0003e+113|           1.68755e+112
      469|          -6.63679e+112|          -4.94924e+112
      470|           4.39405e+112|          -5.55187e+111
      471|          -2.90304e+112|          -3.45823e+112
      472|           1.91392e+112|          -1.54431e+112
      473|          -1.25916e+112|          -2.80346e+112
      474|            8.2665e+111|          -1.97681e+112
      475|          -5.41567e+111|          -2.51838e+112
      476|           3.54057e+111|          -2.16432e+112
      477|          -2.30987e+111|          -2.39531e+112
      478|           1.50382e+111|          -2.24493e+112
      479|           -9.7701e+110|          -2.34263e+112
      480|           6.33433e+110|          -2.27929e+112
      481|          -4.09829e+110|          -2.32027e+112
      482|            2.6461e+110|          -2.29381e+112
      483|          -1.70496e+110|          -2.31086e+112
      484|           1.09629e+110|          -2.29989e+112
      485|          -7.03472e+109|          -2.30693e+112
      486|           4.50481e+109|          -2.30242e+112
      487|          -2.87883e+109|           -2.3053e+112
      488|           1.83599e+109|          -2.30347e+112
      489|          -1.16852e+109|          -2.30464e+112
      490|             7.422e+108|          -2.30389e+112
      491|          -4.70461e+108|          -2.30436e+112
      492|           2.97609e+108|          -2.30407e+112
      493|          -1.87884e+108|          -2.30425e+112
      494|           1.18374e+108|          -2.30414e+112
      495|          -7.44303e+107|          -2.30421e+112
      496|           4.67057e+107|          -2.30416e+112
      497|          -2.92495e+107|          -2.30419e+112
      498|           1.82809e+107|          -2.30417e+112
      499|          -1.14027e+107|          -2.30419e+112
      500|            7.0983e+106|          -2.30418e+112
      501|          -4.40997e+106|          -2.30418e+112
      502|           2.73435e+106|          -2.30418e+112
      503|          -1.69204e+106|          -2.30418e+112
      504|           1.04499e+106|          -2.30418e+112
      505|          -6.44097e+105|          -2.30418e+112
      506|           3.96221e+105|          -2.30418e+112
      507|          -2.43259e+105|          -2.30418e+112
      508|           1.49055e+105|          -2.30418e+112
      509|           -9.1154e+104|          -2.30418e+112
      510|           5.56359e+104|          -2.30418e+112
      511|          -3.38912e+104|          -2.30418e+112
      512|            2.0605e+104|          -2.30418e+112
      513|           -1.2503e+104|          -2.30418e+112
      514|           7.57206e+103|          -2.30418e+112
      515|          -4.57692e+103|          -2.30418e+112
      516|           2.76117e+103|          -2.30418e+112
      517|          -1.66255e+103|          -2.30418e+112
      518|           9.99126e+102|          -2.30418e+112
      519|          -5.99283e+102|          -2.30418e+112
      520|           3.58765e+102|          -2.30418e+112
      521|          -2.14367e+102|          -2.30418e+112
      522|           1.27843e+102|          -2.30418e+112
      523|          -7.60967e+101|          -2.30418e+112
      524|           4.52095e+101|          -2.30418e+112
      525|          -2.68082e+101|          -2.30418e+112
      526|           1.58666e+101|          -2.30418e+112
      527|          -9.37296e+100|          -2.30418e+112
      528|            5.5265e+100|          -2.30418e+112
      529|          -3.25241e+100|          -2.30418e+112
      530|           1.91048e+100|          -2.30418e+112
      531|          -1.12012e+100|          -2.30418e+112
      532|              6.555e+99|          -2.30418e+112
      533|           -3.82885e+99|          -2.30418e+112
      534|             2.2323e+99|          -2.30418e+112
      535|           -1.29905e+99|          -2.30418e+112
      536|            7.54561e+98|          -2.30418e+112
      537|           -4.37477e+98|          -2.30418e+112
      538|            2.53169e+98|          -2.30418e+112
      539|           -1.46239e+98|          -2.30418e+112
      540|            8.43165e+97|          -2.30418e+112
      541|           -4.85246e+97|          -2.30418e+112
      542|            2.78748e+97|          -2.30418e+112
      543|           -1.59833e+97|          -2.30418e+112
      544|            9.14791e+96|          -2.30418e+112
      545|           -5.22617e+96|          -2.30418e+112
      546|            2.98025e+96|          -2.30418e+112
      547|            -1.6964e+96|          -2.30418e+112
      548|            9.63865e+95|          -2.30418e+112
      549|           -5.46656e+95|          -2.30418e+112
      550|            3.09474e+95|          -2.30418e+112
      551|           -1.74883e+95|          -2.30418e+112
      552|            9.86479e+94|          -2.30418e+112
      553|           -5.55449e+94|          -2.30418e+112
      554|             3.1219e+94|          -2.30418e+112
      555|           -1.75151e+94|          -2.30418e+112
      556|            9.80907e+93|          -2.30418e+112
      557|           -5.48359e+93|          -2.30418e+112
      558|            3.06004e+93|          -2.30418e+112
      559|           -1.70456e+93|          -2.30418e+112
      560|            9.47821e+92|          -2.30418e+112
      561|           -5.26099e+92|          -2.30418e+112
      562|            2.91499e+92|          -2.30418e+112
      563|           -1.61227e+92|          -2.30418e+112
      564|            8.90166e+91|          -2.30418e+112
      565|           -4.90611e+91|          -2.30418e+112
      566|            2.69922e+91|          -2.30418e+112
      567|           -1.48243e+91|          -2.30418e+112
      568|            8.12737e+90|          -2.30418e+112
      569|           -4.44798e+90|          -2.30418e+112
      570|            2.43006e+90|          -2.30418e+112
      571|           -1.32529e+90|          -2.30418e+112
      572|            7.21521e+89|          -2.30418e+112
      573|            -3.9213e+89|          -2.30418e+112
      574|            2.12744e+89|          -2.30418e+112
      575|           -1.15221e+89|          -2.30418e+112
      576|            6.22949e+88|          -2.30418e+112
      577|            -3.3622e+88|          -2.30418e+112
      578|            1.81153e+88|          -2.30418e+112
      579|           -9.74356e+87|          -2.30418e+112
      580|            5.23172e+87|          -2.30418e+112
      581|            -2.8043e+87|          -2.30418e+112
      582|            1.50059e+87|          -2.30418e+112
      583|           -8.01595e+86|          -2.30418e+112
      584|            4.27471e+86|          -2.30418e+112
      585|           -2.27572e+86|          -2.30418e+112
      586|            1.20946e+86|          -2.30418e+112
      587|           -6.41688e+85|          -2.30418e+112
      588|            3.39877e+85|          -2.30418e+112
      589|           -1.79715e+85|          -2.30418e+112
      590|            9.48661e+84|          -2.30418e+112
      591|           -4.99926e+84|          -2.30418e+112
      592|            2.63008e+84|          -2.30418e+112
      593|           -1.38134e+84|          -2.30418e+112
      594|            7.24277e+83|          -2.30418e+112
      595|           -3.79122e+83|          -2.30418e+112
      596|             1.9812e+83|          -2.30418e+112
      597|           -1.03359e+83|          -2.30418e+112
      598|             5.3833e+82|          -2.30418e+112
      599|           -2.79913e+82|          -2.30418e+112
      600|            1.45304e+82|          -2.30418e+112
      601|           -7.53023e+81|          -2.30418e+112
